iso1	iso2	iso1.mean.ratio	iso2.mean.ratio	before.interval	after.interval	x.value	y.value	before.prob	after.prob	before.diff	after.diff	before.pval	after.pval	before.t.points	after.t.points	prob	diff	cor	gene
ENST00000644462.1	ENST00000634926.1	0.0093303482147609	0.0179028878679223	[1,1.193]	(1.193,4]	1.19296713472415	1.29943008742998	1.0	0.888888888888889	0.741453304895442	-1.83542929667524	0.0462144384268969	0.0074982557411408	1	3	0.888888888888889	2.57688260157068	-0.340289229200522	6598
ENST00000357179.10	ENST00000442653.1	0.133990169768864	0.111126609175382	[1,3.1727]	(3.1727,4]	3.17273833539274	4.32461590652108	0.888888888888889	1.0	2.15117744626492	-2.64667202942431	0.0316954642520777	0.0175804118635702	3	1	0.888888888888889	4.79784947568922	-0.258140752034466	8940
ENST00000455784.7	ENST00000431124.5	0.319156908874172	0.260951315771496	[1,3.3821]	(3.3821,4]	3.38206307970071	1.2635277760121	0.888888888888889	1.0	1.09671387392762	-1.99745661053309	0.0254299102065631	0.0141590772513528	3	1	0.888888888888889	3.09417048446071	-0.276523023198972	5413
ENST00000397728.8	ENST00000522411.5	0.0672995249565808	0.0829015211202665	[1,3.2202]	(3.2202,4]	3.22022921603323	3.90650399985449	0.888888888888889	1.0	-1.80137892165935	2.65671918106019	0.0060382706978797	0.0289557152977078	3	1	0.888888888888889	4.45809810271954	-0.212277224181603	4047
ENST00000397826.7	ENST00000458015.1	0.31967457798155	0.106399499929014	[1,3.6309]	(3.6309,4]	3.63091369930689	2.1515360831631	0.888888888888889	1.0	4.06028278208862	-2.22952548211814	0.0004451419667683	0.0135540480016189	3	1	0.888888888888889	6.28980826420676	-0.866180443282874	85395
ENST00000372459.7	ENST00000678217.1	0.0626297890982129	0.0237414692545105	[1,3.7632]	(3.7632,4]	3.76315237808859	2.69410679989833	0.888888888888889	1.0	5.26816775466171	-1.85006521142628	0.0019531829927474	0.041763460397298	3	1	0.888888888888889	7.11823296608799	-0.274407659650138	5476
ENST00000676657.1	ENST00000372459.7	0.0182153701015111	0.0626297890982129	[1,3.8259]	(3.8259,4]	3.82585416273132	2.23160946545843	0.888888888888889	1.0	-5.77888082200014	1.39925404138235	0.0015018033069132	0.034667201251431	3	1	0.888888888888889	7.17813486338248	-0.565784115528797	5476
ENST00000430570.5	ENST00000439806.6	0.14105699517957	0.0846144087274465	[1,3.7232]	(3.7232,4]	3.72320134584926	21.0439229523863	0.888888888888889	1.0	14.1966654506537	-7.2595925955725	0.0022996031969965	0.0265066378226433	3	1	0.888888888888889	21.4562580462262	-0.61047820464765	8904
ENST00000415061.8	ENST00000587721.1	0.448675646474767	0.333848339078086	[1,3.4961]	(3.4961,4]	3.49608498375484	2.7412104714515	0.888888888888889	1.0	1.65702353866444	-1.31205066772315	0.0068851662968701	0.0051818998991387	3	1	0.888888888888889	2.9690742063876	-0.502524500901818	112724
ENST00000391918.6	ENST00000599839.5	0.0809838796483766	0.104099110107839	[1,3.5301]	(3.5301,4]	3.53013772486722	72.4942170931145	0.888888888888889	1.0	-35.7315916897459	45.545276575742	0.0014384548673715	0.0301969753327282	3	1	0.888888888888889	81.2768682654878	-0.211259594853989	808
