iso1	iso2	iso1.mean.ratio	iso2.mean.ratio	before.interval	after.interval	x.value	y.value	before.prob	after.prob	before.diff	after.diff	before.pval	after.pval	before.t.points	after.t.points	prob	diff	cor
ENST00000370168.7	ENST00000426919.5	0.190214821757278	0.151949042330471	[1,3.4556]	(3.4556,4]	3.45559233940963	3.08508794825405	1	1	1.32826746016191	-1.41820762592246	0.00522250901661227	0.0271087906822175	3	1	1	2.74647508608436	-0.278057035555833
ENST00000370168.7	ENST00000429502.1	0.190214821757278	0.117372688143344	[1,3.5093]	(3.5093,4]	3.50925516472132	3.03238474097186	1	1	2.22032309019821	-1.77524001471149	0.000633601180090429	0.0357644600949209	3	1	1	3.9955631049097	-0.535065070099661
ENST00000394903.6	ENST00000463786.2	0.425609156606526	0.27296056055933	[1,3.7537]	(3.7537,4]	3.75368413813213	2.87996900148594	1	1	2.89143157593346	-0.88935154404702	0.000232301396738446	0.00388150004243135	3	1	1	3.78078311998048	0.889782637114572
ENST00000259512.9	ENST00000519018.5	0.314001463349063	0.315607596499467	(2.1491,3.4562]	(3.4562,4]	3.45623357892258	9.37817419247213	0	0	3.47198122157345	-4.1381145319498	0.0486552339495108	0.0203703014138663	1	1	1	7.61009575352325	0.333470364419854
ENST00000521198.7	ENST00000396596.2	0.302482514171466	0.261423274257421	(2.3564,3.5515]	(3.5515,4]	3.55152784833242	1.82080308685883	1	1	-2.88290187752297	2.34421745333153	0.00752070694489591	0.0314747379291478	1	1	1	5.2271193308545	-0.904187104355638
ENST00000289820.10	ENST00000621538.4	0.274660053657415	0.462275372296783	(1.2616,2.4894]	(2.4894,4]	2.4893947526476	1.12480125400996	1	1	1.46497739199169	-2.02872075189583	0.0118235914623818	0.00156699345937838	1	2	1	3.49369814388752	-0.473955702422899
ENST00000484325.1	ENST00000449080.5	0.263106115745588	0.281367418716635	(2.061,3.4859]	(3.4859,4]	3.48589342163605	57.6273360477054	1	1	21.9163579695263	-23.1889202532816	0.00120235860196167	0.0360514531333644	1	1	1	45.105278222808	-0.425545572181804
ENST00000320583.9	ENST00000493277.5	0.273818078647349	0.225597881462282	[1,3.5766]	(3.5766,4]	3.57656622053628	7.38200035410733	1	1	2.25630904316722	-1.5372555060674	0.000473002757092324	0.034095107120399	3	1	1	3.79356454923462	0.0119016563723415
ENST00000353999.6	ENST00000679266.1	0.124366641672207	0.312860928797442	[1,3.6485]	(3.6485,4]	3.64848680193529	32.969517314258	1	1	-40.9995077950138	11.7410416152891	0.000266464320073535	0.036176898689576	3	1	1	52.7405494103029	-0.407237965249148
ENST00000432066.2	ENST00000649633.1	0.341520635724575	0.418222405742093	(2.2409,3.3598]	(3.3598,4]	3.35983524363705	1.81044249765759	1	1	0.981865075972513	-1.74678669823469	0.0422713322188866	0.0218187629596083	1	1	1	2.7286517742072	-0.340059213977252
ENST00000398884.7	ENST00000398881.4	0.473076802434578	0.526923197565422	[1,3.4481]	(3.4481,4]	3.44808593305926	144.72783401153	1	1	-30.7796863528738	25.669381955376	8.12669481019907e-05	0.0155231623474303	3	1	1	56.4490683082498	0.139654958735016
ENST00000394722.7	ENST00000433049.5	0.249104245044999	0.300114758683858	[1,1.5701]	(1.5701,2.4253]	1.57006201535919	11.0947351477343	1	1	-3.1490456911147	2.37499486284243	0.00275745358083403	0.0466557109008	1	1	1	5.52404055395713	-0.291187310539702
ENST00000394722.7	ENST00000433049.5	0.249104245044999	0.300114758683858	(1.5701,2.4253]	(2.4253,4]	2.42527666695034	10.0287864267318	1	1	2.37499486284243	-3.67363677362047	0.0466557109008	0.0204742489528121	1	2	1	6.04863163646291	-0.291187310539702
ENST00000513163.5	ENST00000515679.1	0.216413003746248	0.319993931529444	[1,3.5996]	(3.5996,4]	3.5996213592528	7.54320147393805	1	1	-5.08287519246162	3.60414159554148	7.37214416423902e-06	0.0180621035719849	3	1	1	8.6870167880031	-0.775559963268538
ENST00000337190.7	ENST00000513380.1	0.489852813905801	0.487722466435201	[1,2.384]	(2.384,4]	2.38400773934838	15.6089476164807	1	1	-4.28288312849573	4.42828198197589	0.00737828454716189	2.49655981134302e-05	2	2	1	8.71116511047162	0.585075506938503
ENST00000355354.13	ENST00000398258.7	0.0985231238135688	0.310596279937689	(2.7677,3.1215]	(3.1215,4]	3.12147838736937	0.434034688979066	1	1	0.288649959521363	-2.08749254427791	0.030630964340301	0.0232817309395772	1	1	1	2.37614250379927	0.41847730172537
ENST00000349503.9	ENST00000339511.9	0.243816163473226	0.252541018219851	[1,2.4121]	(2.4121,4]	2.41213742619242	5.2996737371693	1	1	-2.06572879111651	1.68915014865817	0.0180473989064722	0.018617772408016	2	2	1	3.75487893977468	-0.647429096518855
ENST00000409480.5	ENST00000409547.5	0.210101447643783	0.233283919001907	[1,3.3826]	(3.3826,4]	3.38263354328489	5.30941770024193	1	1	-1.26885226837129	1.48783756994136	0.000271368961123744	0.014950066169314	3	1	1	2.75668983831265	-0.0793968879797909
ENST00000295124.9	ENST00000447782.1	0.36053536344658	0.223977076001819	[1,2.7082]	(2.7082,3.3247]	2.70818015825775	2.09137221073035	1	1	1.44754444047588	-0.630038265597587	0.00175020386241948	0.0495695738295858	2	1	1	2.07758270607346	0.181365918808965
ENST00000399032.2	ENST00000258091.10	0.434869083370265	0.374425817994456	(1.7347,2.1167]	(2.1167,4]	2.11674308683594	198.409359744243	1	1	-8.38652813391966	45.5576478393542	0.0463221040534448	0.00675794407810876	1	2	1	53.9441759732738	0.280856300949558
ENST00000307845.8	ENST00000613496.4	0.254509672392568	0.316977647691634	[1,1.6715]	(1.6715,2.6944]	1.67147158179674	3.15391335555318	1	1	-5.8924457601922	2.88297515103246	0.0144782537074933	0.0239905854244603	1	1	1	8.77542091122466	0.252140467219855
ENST00000612948.4	ENST00000426638.1	0.339132918424828	0.366844531243833	(1.5307,3.2848]	(3.2848,4]	3.28475561647755	2.99814004522891	1	1	0.696972871380998	-1.77380169450254	0.0392740350516441	0.0106053018184749	2	1	1	2.47077456588354	0.502012379810901
